用例名称,优先级,前置条件,步骤描述,预期结果
项目组件-工单-表单管理-新建表单：检查「新建表单」弹窗展示,P1,"1. 项目A下面存在工单组件
2. 进入项目A-Settings-Components-Ticket-Form management",#点击「New form」按钮,"#出现「New form」弹窗：
1. 弹窗标题： New form
2. 提示文案：You can customize form style and content in mini apps. When a user submits a form, a ticket is automatically created in the project.
3. Form names输入框：必填项, placeholder: Form submitted in mini app
4. Form tip输入框： 默认填入Thank you for your suggestions!
5. Ticket mini app agent account：必填项, placeholder: Select member
6. Form fields： 显示表单属性列表
7. Cancel Ok按钮"
项目组件-工单-表单管理：检查表单列表展示,P1,"1. 项目A下面存在工单表单1： 名称包含32个字符
2. 进入项目A-Settings-Components-Ticket-Form management","#检查表单的提示文案
#检查表单列表
#鼠标hover表单1的名称
#鼠标hover Edit图标✏️
#鼠标hover Share图标⤴️
#鼠标hover Delete图标🗑️","#Configure the style and content of forms in the ticket mini app.
Ticket mini app user guide⤴️（蓝色链接， 日文环境换行展示）
New form（按钮）
#列表包含以下5列：
1. Form name：表单1(名称过长省略)
2. Ticket count: 使用表单1的工单数量
3. Agent account：代理账号用户名
4. Create： 表单创建日期
5. Form status: Disable（默认关闭）
6. Action： Edit Share Delete图标📝 ⤴️🗑️ 
#tooltips显示完整内容
#1. tooltips显示Edit
2. 图标变成蓝色
#1. tooltips显示Share
2. 图标变成蓝色
#1. tooltips显示Delete
2. 图标变成红色"
项目设置-工作项类型-工作项权限：有编辑权限，可编辑属性值,P2,工作项编辑权限的成员域中，添加成员A、成员域B,"#登录成员A的账号，点击工作项属性值
#登录成员域B中的成员账号，点击工作项属性值","#属性值输入框切换为可编辑模式
#属性值输入框切换为可编辑模式"
复用 配置中心 - 工作项类型 - 工作项权限：编辑工作项,P2,"工作项已添加多选项目属性，并设置属性值
成员A无编辑权限，成员B有编辑权限","#成员A点击多选项目属性值
#成员B点击多选项目属性值
#成员B修复属性值","#Toast提示：你没有编辑权限，请联系管理员
#属性值切换为可编辑模式
#保存成功"
属性修改权限-新建规则：系统属性（关联发布）,P1,"1.成员A有项目A 的管理权限
2.工作项类型 任务 的属性与视图中有以下系统属性：关联发布
3.存在成员域 成员域B（成员b）、成员域C（成员c），有创建任务、编辑任务权限
4.进入工作项类型-任务-工作项权限-属性修改权限Tab-新建规则弹窗","#1.选择工作项属性：关联发布
2.选择成员域：成员域B，点击确定按钮","#1.弹出toast提示：添加成功
2.属性修改规则界面按顺序展示以下规则：
修改关联发布
成员域：成员域B"
属性修改权限-新建规则：系统属性（标题）,P1,"1.成员A有项目A 的管理权限
2.工作项类型 任务 的属性与视图中有以下系统属性：标题
3.存在成员域 成员域B（成员b）、成员域C（成员c），有创建任务、编辑任务权限
4.进入工作项类型-任务-工作项权限-属性修改权限Tab-新建规则弹窗","#1.选择工作项属性：标题
2.选择成员域：成员域B，点击确定按钮","#1.弹出toast提示：添加成功
2.属性修改规则界面按顺序展示以下规则：
修改标题
成员域：成员域B"
属性修改权限-新建规则-选择工作项属性：自定义PBI属性组,P2,"1.成员A有项目A 的管理权限，已按照并启用PBI插件
2.工作项类型 任务 的本地视图中有以下自定义属性：产品系列、产品型号、V版本、R版本、BL版本、特性、子系统、子系统模块
3.存在成员域 部门B（成员b）、部门C（成员c）
4.进入工作项类型-任务-工作项权限-属性修改权限Tab","#打开新建规则弹窗，点击选择工作项属性输入框

#1、选工作项属性选择 产品系列、BL版本
2、选择成员域 部门B（1人）
3.点击确定按钮
#登录部门B的成员b 账号，在项目A下：
1.新建任务
2.编辑任务「产品系列」、「BL版本」属性

#登录部门C的成员c 账号，在项目A下：
1.新建任务
2.编辑任务「产品系列」、「BL版本」属性","#下拉选项中包含以下属性：
产品系列、产品型号、V版本、R版本、BL版本、特性、子系统、子系统模块

#1.弹出toast提示：添加成功
2.属性修改规则界面按顺序展示以下规则：
2.1 产品系列
2.2 BL版本
3.以上规则的成员域相同，为部门B
#1.新建任务弹窗上，产品系列、BL版本的属性值可以编辑
2.任务详情中的产品系列、需BL版本的属性值可以编辑
#1.新建任务弹窗上，产品系列、BL版本的属性值只读，不可编辑
2.任务详情中的产品系列、BL版本的属性值只读，不可编辑"
工作项工作流：删除工作项状态,P1,"1、新建「简易看板任务管理」项目A
2、有管理权限和管理工作项配置权限
3、已添加到项目A中的工作项状态：未开始、进行中、已完成、关闭
4、项目A-看板组件-看板栏设置：已完成看板栏已选「已完成」状态；未分配的状态列表存在「关闭」状态
5、进入项目A-设置 - 工作项类型 - 任务 - 工作项工作流页-表格详情","#1、删除「已完成」、「关闭」状态
2、查看表格详情
#1、进入项目A-看板组件-看板栏设置
2、查看看板栏设置详情","#表格详情不存在「已完成」、「关闭」
#1、已完成看板栏中不存在「已完成」状态
2、未分配的状态列表不存在「关闭」状态"
工作项工作流-添加工作项状态：添加工作项状态时丢失管理项目权限,P2,"1、新建「简易看板任务管理」项目A
2、成员A有管理项目，成员B有超级管理员权限
3、存在可添加的工作项状态：
    -状态1
    -状态2
    -状态3","#1、成员A进入项目A-看板组件-看板栏设置
2、点击添加工作项状态
3、选择状态1
4、勾选 允许任何状态下的工作项转入或转出该状态
#1、成员B进入项目A-设置-权限配置-项目权限
2、取消成员A的管理项目权限
#成员A点击确定","#选择工作项状态已选择：状态1
#管理项目成员域无成员A
#toast提示：暂无项目管理权限"
工作项工作流-添加工作项状态：新建工作项状态时丢失管理工作项配置权限,P2,"1、新建「简易看板任务管理」项目A
2、成员A有管理项目权限和管理工作项配置权限，成员B有超级管理员权限
3、成员A进入项目A-看板组件-看板栏设置-添加工作项状态","#1、点击「+新建工作项状态」
2、输入状态名称：状态a
3、选择状态类型：未开始
#1、成员B进入配置中心-项目管理-权限配置
2、取消成员A的管理工作项配置权限
#成员A点击确定","#已选择工作项状态：未开始
#管理工作项配置成员域无成员A
#toast提示：您当前没有管理工作项配置的权限，请联系管理员。"
工作项工作流-添加工作项状态：新建工作项状态,P1,"1、新建「简易看板任务管理」项目A
2、有管理项目权限和管理工作项配置权限
3、进入项目A-设置工作项类型-任务-工作项工作流-添加工作项状态","#1、点击「+新建工作项状态」
2、输入状态名称：状态a
3、选择状态类型：未开始
4、点击确定
#1、进入配置中心-项目管理-工作项状态
2、查看工作项状态列表
#1、进入项目A-看板组件-看板布局-看板栏设置-编辑看板栏
2、查看未分配的状态列表","#1、toast提示：新建成功
2、状态a默认填充到添加工作项状态弹窗的选择工作项状态选择框
#工作项状态列表新增状态a
#未分配的状态列表增加状态a"
工作项工作流-添加工作项状态：所选择的状态被异步删除,P2,"1、新建「简易看板任务管理」项目A
2、成员A有管理权限和管理工作项配置权限，成员B有超级管理员权限
3、存在可添加的工作项状态：：
    -状态1
    -状态2
    -状态3
4、成员A进入项目A-设置 - 工作项类型 - 任务 - 工作项工作流页","#1、点击 添加工作项状态 按钮
2、选择工作项状态：状态1
3、勾选 允许任何状态下的工作项转入或转出该状态
#1、成员B进入配置中心-项目管理-工作项状态
2、删除工作项状态1
# 成员A点击确定按钮","#已选择工作项状态：状态1
#工作项状态列表无状态1
#toast提示：工作项状态不存在。"
工作项工作流-添加工作项状态：新建工作项状态弹窗详情,P1,"1、新建「简易看板任务管理」项目A
2、有管理项目权限和管理工作项配置权限
3、进入项目A-设置工作项类型-任务-工作项工作流-添加工作项状态","#1、点击「+新建工作项状态」
2、查看新建工作项状态弹窗详情
#hover 提示icon
#点击确定（未输入状态名称）
#点击状态类型输入框
#点击取消/关闭按钮","#名称：新建工作项状态
-*状态名称
-输入框
-*状态类型
-选择框：默认填充未开始状态类型
-取消/确定
-关闭
#提示：便于对工作项进度的跟踪和管理
#1、状态名称标红
2、提示：请输入状态名称
#显示：未开始、进行中、已完成
#关闭当前弹窗"
工作项工作流-添加工作项状态：添加工作项状态弹窗详情,P1,"1、新建「简易看板任务管理」项目A
2、成员A有管理项目权限，成员B有管理项目权限和管理工作项配置权限，成员C有查看项目权限
3、存在可添加的工作项状态：
    -状态1
    -状态2
    -状态3
4、进入项目A-设置 - 工作项类型 - 任务 - 工作项工作流页","#1、点击添加工作项状态
2、查看添加工作项状态弹窗详情
#点击确认（未选择工作项状态）
#hover选择工作项状态后的icon
#hover 允许任何状态下的工作项转入或转出该状态后的 icon
#1、点击添加工作项状态
2、查看添加工作项状态弹窗详情
#点击「+新建工作项状态」按钮","#名称：添加工作项状态
-*选择工作项状态
-☑️允许任何状态下的工作项转入或转出该状态（默认勾选）
-取消/确定
-关闭
注：其他项目模版下默认不勾选 允许任何状态下的工作项转入或转出该状态
#1、工作项状态选择框标红
2、提示：请选择工作项状态
#提示：从配置中心添加工作项状态到此工作流中
#提示：气泡提示，如图2
#状态选项值显示：
-从配置中心选择
    -状态1
    -状态2
    -状态3
-「+新建工作项状态」
#出现新建工作项状态弹窗"
属性默认值：批量新建工作项时，删除属性默认值（所有工作项系统属性+工作项自定义属性）,P3,"1.项目1-需求下已添加所有工作项系统属性+所有类型工作项自定义属性
2.所有可设置默认值的属性已设置默认值
需求来源：客户
需求类型：新功能
所属产品：产品1
标题：标题123
负责人：成员1
所属迭代：迭代1
描述：描述哈哈哈哈哈
故事点：0.5
进度：10%
是否线上缺陷：是
严重程度：一般
处理结果：不予处理
解决者：成员1
缺陷类型：功能问题
自定义浮点数：1.1
自定义整数：10
自定义单选成员：成员1
自定义单行文本：哈哈哈哈哈
自定义时间：2022年1月20号10:00:00
自定义单选迭代：迭代1
自定义单选菜单：A
自定义日期：2022年1月20号
自定义多选项目：项目1
自定义多行文本：哈哈哈哈哈哈
自定义多选成员：成员1，成员2
自定义多选菜单：A，B",#批量新建需求，清除所有有默认值的属性，点击确定,#新建成功，批量新建的需求下不显示属性默认值
属性默认值：新建工作项时，删除属性默认值（所有工作项系统属性+工作项自定义属性）,P3,"1.项目1-需求下已添加所有工作项系统属性+所有类型工作项自定义属性
2.所有可设置默认值的属性已设置默认值
需求来源：客户
需求类型：新功能
所属产品：产品1
标题：标题123
负责人：成员1
所属迭代：迭代1
描述：描述哈哈哈哈哈
故事点：0.5
进度：10%
是否线上缺陷：是
严重程度：一般
处理结果：不予处理
解决者：成员1
缺陷类型：功能问题
自定义浮点数：1.1
自定义整数：10
自定义单选成员：成员1
自定义单行文本：哈哈哈哈哈
自定义时间：2022年1月20号10:00:00
自定义单选迭代：迭代1
自定义单选菜单：A
自定义日期：2022年1月20号
自定义多选项目：项目1
自定义多行文本：哈哈哈哈哈哈
自定义多选成员：成员1，成员2
自定义多选菜单：A，B",#新建需求1，清除所有有默认值的属性，点击确定,#新建成功，需求1下不显示属性默认值
工作项属性：添加工作项属性弹窗检查,P1,1.进入项目设置-工作项类型-需求-属性与视图界面,"#点击添加工作项属性
#查看属性名称
#不选择任何属性
#1.选择任意属性
2.点击确定","#进入添加工作项属性弹窗
#默认不选中任何属性
#确定按钮置灰不可选
#添加属性成功"
项目设置-工作项类型：添加工作项类型（工作项权限）,P2,"1.配置中心存在 工作项类型 「测试工作项类型」
2.存在项目A，添加过「测试工作项类型」后又移除
3.从配置中心给「测试工作项类型」新建属性修改权限规则：修改截止日期，成员域（项目成员）
3.进入项目A-设置-工作项类型-添加工作项类型弹窗","#再次添加「测试工作项类型」
#检查「测试工作项类型」-工作项权限-属性修改权限","#添加成功
#展示权限点：
修改截止日期
成员域：项目成员"
交付物数据迁移：审计日志,P1,"1.存在项目A
2.操作日志存在三条日志记录：管理交付物，提交、编辑和删除交付物，查看交付物",#完成数据迁移操作，查看配置中心-系统安全-操作日志页面,#操作日志依然存在三条日志记录：管理交付物，提交、编辑和删除交付物，查看交付物
交付物权限迁移：查看交付物,P0,"1.存在项目A，项目管理员为test1，项目成员有test2，test3
2.存在用户test4，不属于项目管理员/项目成员
4.项目管理员，项目成员，用户test4均具有查看交付物权限","#完成数据迁移操作，查看项目管理-权限设置-交付物权限列表
#使用test1查看交付物、下载交付物
#使用test2查看交付物、下载交付物
#使用test4查看交付物、下载交付物","#查看交付物权限处均选中此成员项目管理员，项目成员，用户test4
#操作成功
#操作成功
#操作成功"
交付物权限迁移：提交、编辑和删除交付物,P0,"1.存在项目A，项目管理员为test1，项目成员有test2，test3
2.存在用户test4，不属于项目管理员/项目成员
4.项目管理员，项目成员，用户test4均具有提交、编辑和删除交付物权限","#完成数据迁移操作，查看项目管理-权限设置-交付物权限列表
#使用test1查看交付物、提交交付物、删除交付物、下载交付物
#使用test2查看交付物、提交交付物、删除交付物、下载交付物
#使用test4查看交付物、提交交付物、删除交付物、下载交付物","#查看交付物、提交交付物、删除交付物权限处均选中此成员项目管理员，项目成员，用户test4
#操作成功
#操作成功
#操作成功"
交付物权限迁移：管理交付物,P0,"1.存在项目A，项目管理员为test1，项目成员有test2，test3
2.存在用户test4，不属于项目管理员/项目成员
4.项目管理员，项目成员，用户test4均具有管理交付物权限","#完成数据迁移操作，查看项目管理-权限设置-交付物权限列表
#使用test1设置目标交付物、查看交付物、提交交付物、删除交付物、下载交付物
#使用test2设置目标交付物、查看交付物、提交交付物、删除交付物、下载交付物
#使用test4设置目标交付物、查看交付物、提交交付物、删除交付物、下载交付物","#设置目标交付物、查看交付物、提交交付物、删除交付物权限处均选中此成员项目管理员，项目成员，用户test4
#操作成功
#操作成功
#操作成功"
配置中心-工作项属性：检查批量添加自定义成员属性，对工作项权限（成员域配置了成员属性）的影响,P1,"1、有项目管理权限
2、系统已存在单选成员属性、多选成员属性
3、存在「需求」已添加「单选成员属性」、「多选成员属性」；
     且查看需求权限已添加成员域：单选成员属性、多选成员属性
     存在需求A：单选成员（成员A），多选成员（成员B、C）
4、进入项目设置-工作项类型","#1、点击「添加属性到工作项类型」
2、选择单选成员属性、多选成员属性，点击「下一步」
3、选择项目-缺陷，点击「确认」
4、进入项目设置-缺陷-属性与视图
#进入权限设置-工作项权限-需求，检查「查看需求」的权限域
#成员A、B、C进入项目-需求","#工作项属性列表显示：单选成员属性、多选成员属性
#存在单选成员属性、多选成员属性
#能够查看到需求A"
工作项类型-属性与视图：检查批量添加自定义成员属性，对工作项权限（成员域配置了成员属性）的影响,P1,"1、有项目管理权限
2、系统已存在单选成员属性、多选成员属性
3、存在「需求」已添加「单选成员属性」、「多选成员属性」；
     且查看需求权限已添加成员域：单选成员属性、多选成员属性
     存在需求A：单选成员（成员A），多选成员（成员B、C）
4、进入项目设置-工作项类型","#1、点击「添加属性到工作项类型」
2、选择单选成员属性、多选成员属性，点击「下一步」
3、选择缺陷，点击「确认」
4、进入项目设置-缺陷-属性与视图
#进入权限设置-工作项权限-需求，检查「查看需求」的权限域
#成员A、B、C进入项目-需求","#工作项属性列表显示：单选成员属性、多选成员属性
#存在单选成员属性、多选成员属性
#能够查看到需求A"
工作项类型-属性与视图：检查添加自定义成员属性，对工作项权限（成员域配置了成员属性）的影响,P1,"1、有项目管理权限
2、系统已存在单选成员属性、多选成员属性
3、存在「需求」已添加「单选成员属性」、「多选成员属性」；
     且查看需求权限已添加成员域：单选成员属性、多选成员属性
     存在需求A：单选成员（成员A），多选成员（成员B、C）
4、进入项目设置-缺陷-属性与视图","#1、点击「添加工作项属性」
2、选择单选成员属性、多选成员属性
3、点击「确认」
#进入权限设置-工作项权限-需求，检查「查看需求」的权限域
#成员A、B、C进入项目-需求","#工作项属性列表显示：单选成员属性、多选成员属性
#存在单选成员属性、多选成员属性
#能够查看到需求A"
迭代规划方式-关闭状态：不可修改子工作项的所属迭代（表格视图）,P0,"1、存在项目a，存在4个迭代：迭代1、迭代2、迭代3、迭代4、迭代5
2、任务工作项存在：
      父工作项：父任务1，所属迭代为：迭代1
          子任务：子任务1，所属迭代为：迭代2
          子需求：子需求1，所属迭代为：迭代3
           子检查项：子检查项1，所属迭代为：迭代4
3、用户a有迭代管理权限和项目查看权限
4、布局：表格","#迭代规划方式-“允许「父子工作项」分别规划至“不同迭代””的开关为“关闭”状态
#查看任务工作项列表
#点击子任务1的所属迭代
#点击子需求1的所属迭代
#点击子检查项1的所属迭代
#修改父工作项“父任务1”的所属迭代为：迭代5
#检查子任务1、子需求1、子检查项1评论区动态","#关闭成功
#父任务1，所属迭代为：迭代1
      -子任务1，所属迭代为：迭代2
      -子需求1，所属迭代为：迭代3
      -子检查项1，所属迭代为：迭代4
#编辑按钮禁用，（tooltips：跟随父工作项）
#编辑按钮禁用，tooltips：跟随父工作项
#编辑按钮禁用，tooltips：跟随父工作项
#1、”父任务1“的所属迭代更新为：迭代5
2、同步更新子任务1的所属迭代为：迭代5
3、同步更新子需求1的所属迭代为：迭代5
4、同步更新子检查项1的所属迭代为：迭代5
#用户a：编辑了工作项属性
所属迭代：旧迭代名称  时间
                   旧迭代名称->新迭代名称  时间"
迭代规划方式-关闭状态：不可修改子工作项的所属迭代（表格视图）（多端操作）,P0,"1、存在项目a，存在4个迭代：迭代1、迭代2、迭代3、迭代4、迭代5
2、迭代规划方式-“允许「父子工作项」分别规划至“不同迭代””的开关为“开启”状态
3、任务任务工作项存在：
      父工作项：父任务1，所属迭代为：迭代1
          子任务：子任务1，所属迭代为：迭代2
          子需求：子需求1，所属迭代为：迭代3
           子检查项：子检查项1，所属迭代为：迭代5
5、用户a有迭代管理权限和项目查看权限；存在超管
6、布局：表格","#1、用户a打开任务工作项列表，在页面停留
2、超管进入迭代规划方式-“允许「父子工作项」分别规划至“不同迭代””的开关为“关闭”状态
#用户a点击子任务1的所属迭代
#用户a点击子需求1的所属迭代
#用户a点击子检查项1的所属迭代
#用户a修改父工作项“父任务1”的所属迭代为：迭代5","#1、关闭成功
2、工作项列表依旧显示：
父任务1，所属迭代为：迭代1
      -子任务1，所属迭代为：迭代2
      -子需求1，所属迭代为：迭代3
      -子检查项1，所属迭代为：迭代4
#toast提示：迭代规划方式已变更，请刷新后重试
#toast提示：迭代规划方式已变更，请刷新后重试
#toast提示：迭代规划方式已变更，请刷新后重试
#1、”父任务1“的所属迭代更新为：迭代5
2、同步更新子任务1的所属迭代为：迭代5
3、同步更新子需求1的所属迭代为：迭代5
4、子检查项1的所属迭代为：迭代5（无需更新）"
